Sensor_ID,Row,Col,Press_Count,Max_Pressure,Avg_Pressure,Avg_Resistance_Ohms,Min_Resistance_Ohms,Max_Resistance_Ohms,Baseline_Resistance_Ohms
1705,35,25,68,0.6695124658632718,0.3397947438736915,20677.626029411767,16131.41,26187.06,32765.05
1623,33,39,83,0.59454951127249,0.3734179014951978,20268.831325301206,16131.41,28371.24,33729.39
1973,41,5,46,0.5979041116618651,0.37133524672494167,18656.618260869567,16131.41,23230.05,28921.71
399,8,15,69,0.553772570169668,0.337853239183651,17814.951014492755,16131.41,20881.81,26610.43
252,5,12,10,0.41029031665908966,0.3353387155659788,16970.367,16131.41,18162.29,23366.42
253,5,13,9,0.3908682283943374,0.33076023759336226,16812.093333333334,16131.41,17872.27,22880.64
1633,34,1,55,0.4489492489771642,0.2938105923736002,17470.58163636364,16131.41,19007.29,24151.15
1619,33,35,84,0.5411294218293153,0.32190457667937833,19720.216904761906,16148.25,24913.49,30031.86
898,18,34,20,0.5874258726752808,0.40959335062800983,18895.8035,16148.25,22305.72,29449.88
1916,39,44,98,0.744300672283692,0.41396327208921735,28264.162755102047,16148.25,48810.25,56260.74
1843,38,19,56,0.6930383650424226,0.33956591005497927,21266.480535714287,16148.25,27765.84,33310.84
356,7,20,86,0.5784916906191747,0.3336005822680308,18844.018953488372,16148.25,23311.73,28480.09
851,17,35,24,0.7433998147744447,0.40860483374079887,19274.28875,16148.25,22933.92,30309.35
1384,28,40,84,0.8591939814929174,0.21897404593020312,38210.22583333334,16148.25,49845.72,64483.38
401,8,17,70,0.5247094953122218,0.3234475225795244,18158.656857142858,16148.25,20975.98,26775.9
229,4,37,40,0.7263413427733713,0.28605340728103246,25271.971750000004,16182.0,30712.49,35949.24
357,7,21,84,0.5861150396870943,0.32911291057717207,19063.399285714288,16182.0,23614.7,28847.41
850,17,34,26,0.690825552106074,0.40150891816755896,19422.261153846153,16182.0,25124.57,30189.96
1836,38,12,44,0.5741363029298351,0.32274364077668394,19224.499090909096,16182.0,23040.99,28191.18
1137,23,33,42,0.6685170609216629,0.3141409019170589,33700.851904761905,16182.0,51284.3,56585.1
1974,41,6,53,0.5893276986478974,0.3438935430959771,19241.28962264151,16182.0,24065.32,29146.33
1692,35,12,70,0.7046370793369469,0.3888115521104203,20019.300285714286,16198.91,27941.91,34060.55
936,19,24,22,0.7267119266733307,0.5009841063273417,20292.148181818186,16198.91,30712.49,36526.48
1849,38,25,44,0.6215935446315993,0.32307143025404134,20184.37772727273,16215.84,24557.47,30150.32
1873,39,1,56,0.5172271288396036,0.3054763463956501,18497.28410714286,16215.84,21166.06,26348.73
2105,43,41,113,0.7146494208475875,0.2711661036487584,31038.31672566372,16215.84,46371.55,51468.98
1491,31,3,27,0.3504930055319489,0.22922890288013778,19316.96777777778,16215.84,21700.95,26875.9
1801,37,25,90,0.591142477569492,0.3343782962126211,20229.362111111113,16215.84,25215.81,30229.68
1243,25,43,34,0.811861272266908,0.47772118331015045,96403.93676470588,16215.84,272357.75,293282.41
1976,41,8,56,0.6329500748839899,0.3469658679100337,19874.202142857142,16215.84,25003.64,30631.22
1724,35,44,101,0.8501170683008218,0.4309680237636884,32183.593168316835,16215.84,62499.11,71959.17
2107,43,43,29,0.5441271030013567,0.25570663950908346,21170.54862068966,16215.84,24973.54,30229.68
1489,31,1,30,0.389567378410455,0.24169123090277214,20143.123000000003,16215.84,23866.7,28958.97
245,5,5,23,0.4672492699374376,0.2822437590883915,18391.828260869566,16232.79,19794.65,25033.8
1740,36,12,12,0.42433302155072306,0.3377945679619902,17118.134166666667,16232.79,18221.02,23726.24
1983,41,15,56,0.6235288959950026,0.34055817910459363,19882.362321428573,16249.76,25064.0,30349.31
1236,25,36,36,0.8086094306330169,0.47298924342741455,98904.87722222222,16249.76,266631.75,284551.28
852,17,36,25,0.6392427716551208,0.45948487603229304,17780.363999999998,16249.76,22933.92,28407.46
359,7,23,87,0.6027411811134598,0.352040238425505,19131.975862068964,16249.76,23951.54,29992.53
1794,37,18,74,0.5283480650655176,0.3404369662281359,18660.675675675677,16249.76,23230.05,28263.01
1693,35,13,72,0.7249678801882468,0.41533696626004407,20097.19083333333,16283.77,30309.35,35742.86
900,18,36,21,0.6154602795862322,0.46898661462490343,17681.69666666667,16283.77,22616.81,28407.46
907,18,43,21,0.5990901731176149,0.4505988184650012,18174.700476190475,16283.77,23311.73,28921.71
1791,37,15,102,0.5897230404416617,0.37231719057931767,20344.139803921567,16283.77,26026.81,31206.99
1488,31,0,27,0.4053645236772054,0.21923571677336856,21341.48148148148,16317.87,24853.65,30309.35
1336,27,40,70,0.9497384543846729,0.1895740011595687,56810.943857142855,16317.87,94632.04,99982.53
1282,26,34,115,0.862174392416286,0.22664992550898808,88181.20408695651,16317.87,208912.44,221287.44
246,5,6,21,0.4313361391770819,0.2857373904412699,17870.876190476192,16317.87,19237.01,24237.42
395,8,11,68,0.6154589029843968,0.3560506374937119,18663.684264705884,16317.87,22907.26,29146.33
1981,41,13,54,0.6112514906881515,0.3498534381014605,19723.65740740741,16317.87,25154.93,30389.34
407,8,23,74,0.5713826900062343,0.3406215578404193,19828.040945945944,16317.87,24151.15,31458.76
394,8,10,68,0.6145660617292494,0.35486160582256027,18723.79808823529,16317.87,23202.91,29221.78
393,8,9,68,0.606586488685856,0.35106989004825645,18666.50720588235,16317.87,22933.92,28958.97
1625,33,41,112,0.7428967230771228,0.4217876470398806,25135.933839285717,16317.87,43983.32,49670.62
1591,33,7,49,0.4671868493212627,0.27328483542372417,17930.207142857143,16334.95,19577.68,24675.34
2008,41,40,86,0.740627413797212,0.40980968042489097,26405.707325581396,16334.95,43840.75,54685.13
244,5,4,21,0.4464513736469339,0.28345073914558755,18224.979047619046,16334.95,19664.09,24794.01
242,5,2,25,0.45539816307252406,0.26729818187071347,18619.833599999998,16352.05,20059.23,25094.26
945,19,33,24,0.7469371453171582,0.4810485071928749,21929.86375,16352.05,33682.49,38695.02
309,6,21,77,0.6708223680485547,0.3460061939905594,20892.02766233766,16352.05,28407.46,33588.98
853,17,37,25,0.6783170866366593,0.4523917002066284,17994.966,16352.05,22907.26,28773.39
392,8,8,68,0.6031552880510227,0.3472841176626078,18715.581176470587,16369.18,23586.93,28847.41
1895,39,23,59,0.5495320541974379,0.3115052419294154,19302.838813559327,16369.18,23040.99,28263.01
1975,41,7,56,0.6061412594658607,0.3405367270256815,19755.000357142857,16369.18,24823.81,30031.86
1914,39,42,99,0.9870757669036487,0.5963781656429678,32616.928181818184,16386.33,136685.03,142142.66
